sewi	| Jawe	| YHWH
jan mije	| Jesu	| Jesus
jan mije	| Esela	| Ezra
jan mije	| Nejemaja	| Nehemiah
jan meli	| Ese	| Esther
jan mije	| Ijopo	| Job
jan mije	| Jesajaju	| Isaiah
jan mije	| Imijaju	| Jeremiah
jan mije	| Jekeseke	| Ezekiel
jan mije	| Tanije	| Daniel
jan mije	| Oseja	| Hosea
jan mije	| Jowele	| Joel
jan mije	| Amo	| Amos
jan mije	| Opasija	| Obadiah
jan mije	| Jona	| Jonah
jan mije	| Mika	| Micah
jan mije	| Nakun	| Nahum
jan mije	| Apaku	| Habakkuk
jan mije	| Sepenija	| Zepheniah
jan mije	| Ake	| Haggai
jan mije	| Sekelija	| Zecheriah
jan mije	| Malaki	| Malachi
jan mije	| Salomo	| Solomon
jan mije	| Jojusawa	| Joshua
jan mije	| Sila	| Sirach
jan mije	| Palu	| Baruch
jan mije	| Asalija	| Azariah
jan mije	| Susana	| Susanna
jan mije	| Pele	| Bel
kulupu jan	| Makapi	| Maccabees
jan mije	| Etesa	| Esdras
jan mije	| Manase	| Mannasseh
jan mije	| Atan	| Adam
jan mije	| Sese	| Seth
jan mije	| Enoso	| Enosh
jan mije	| Kenan	| Kenan
jan mije	| Malalali	| Mahalaleel
jan mije	| Jalete	| Jared
jan mije	| Enoko	| Enoch
jan mije	| Mesusale	| Methusaleh
jan mije	| Lameke	| Lamech
jan mije	| Nowa	| Noah
jan mije	| Sen	| Shem
jan mije	| An	| Ham
jan mije	| Japete	| Japeth
jan mije	| Mose 	| Moses
jan mije	| Kome	| Gomer
jan mije	| Makuku	| Magog
jan mije	| Mate	| Madai
jan mije	| Jawan	| Javan
jan mije	| Tupa	| Tubal
jan mije	| Meseke	| Meshech
jan mije	| Akasewe	| Ahasuerus
jan meli	| Wasi	| Vashti
jan mije	| Moteka	| Mordecai
jan mije	| Jako	| Jacob
jan mije	| Ijowani	| John
jan mije	| Emo	| Amoz
jan mije	| Jose	| Joseph
kulupu	| Palisajo	| Pharisees
jan  | Amita	| Amittai
ante  | Satan	| Satan
kulupu jan	| Sepa	| Sabeans
kulupu jan  | Katajan	| Chaldeans
jan mije	| Polo	| Paul
jan mije	| Temotejo	| Timothy
jan mije	| Pilemon	| Philemon
jan mije	| Akipo	| Archippus
jan meli	| Apija	| Apphia
jan mije	| Epapa	| Epaphras
jan mije	| Mako	| Mark
jan mije	| Alisako	| Aristarchus
jan mije	| Tema	| Demas
jan mije	| Luka	| Luke
jan mije	| Isaka	| Isaac
jan mije  | Awalon | Aaron
jan mije  | Lasalo | Lazarus
jan mije  | Simon Peto  | Simon Peter
